,0
0,Florida
1,Georgia
2,Hawaii
3,Idaho
4,Illinois
5,Indiana
6,Iowa
7,Kansas
8,Kentucky
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Michigan
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,Nevada
20,New Hampshire
21,New Jersey
22,New Mexico
23,New York
24,North Carolina
25,North Dakota
26,Ohio
27,Oklahoma
28,Oregon
29,Pennsylvania
30,Rhode Island
31,South Carolina
32,South Dakota
33,Tennessee
34,Texas
35,Utah
36,Vermont
37,Virginia
38,Washington
39,West Virginia
40,Wisconsin
41,Wyoming
